[t=0] Log started.
[t=14] BUZZ: 19-3.13392
[t=14] BUZZ: 17-4.09912
[t=14] BUZZ: 18-3.45187
[t=14] BUZZ: 16-3.20275
[t=14] BUZZ: 23-3.64456
[t=14] BUZZ: 24-3.09728
[t=14] BUZZ: 26-3.35196
[t=14] BUZZ: 27-1.99871
[t=14] BUZZ: 28-1.5167
[t=14] BUZZ: 20-3.71384
[t=14] BUZZ: 32-3.66205
[t=14] BUZZ: 33-2.94779
[t=14] BUZZ: 31-3.78109
[t=14] BUZZ: 34-2.71334
[t=14] BUZZ: 30-5.4113
[t=14] BUZZ: 29-2.3865
[t=14] BUZZ: 25-1.85865
[t=14] BUZZ: 39-2.4985
[t=14] BUZZ: 22-1.3609
[t=14] BUZZ: 0-2.92626
[t=14] BUZZ: 3-1.7919
[t=14] BUZZ: 21-1.6661
[t=14] BUZZ: 35-2.58328
[t=14] BUZZ: 38-2.56124
[t=15] BUZZ: 32-3.66205
[t=15] BUZZ: 15-3.43488
[t=15] BUZZ: 17-4.09912
[t=15] BUZZ: 4-4.23635
[t=15] BUZZ: 24-3.09728
[t=15] BUZZ: 6-3.78513
[t=15] BUZZ: 13-4.10458
[t=15] BUZZ: 23-3.64456
[t=15] BUZZ: 30-5.4113
[t=15] BUZZ: 19-3.13392
[t=15] BUZZ: 36-2.78463
[t=15] BUZZ: 20-3.71375
[t=15] BUZZ: 18-3.4469
[t=15] BUZZ: 37-3.8247
[t=15] BUZZ: 1-2.88517
[t=15] BUZZ: 10-3.02936
[t=15] BUZZ: 31-3.78109
[t=15] BUZZ: 34-2.71334
[t=15] BUZZ: 29-2.3865
[t=15] BUZZ: 7-2.00931
[t=15] BUZZ: 14-3.48593
[t=15] BUZZ: 11-2.56779
[t=15] BUZZ: 9-2.67575
[t=15] BUZZ: 12-0.529393
[t=15] BUZZ: 16-3.20275
[t=15] BUZZ: 22-1.3609
[t=15] BUZZ: 26-3.35196
[t=15] BUZZ: 27-1.99871
[t=15] BUZZ: 28-1.5167
[t=15] BUZZ: 33-2.94779
[t=15] BUZZ: 38-2.56124
[t=15] BUZZ: 39-2.4985
[t=15] BUZZ: 0-2.92626
[t=15] BUZZ: 2-2.6853
[t=15] BUZZ: 3-1.78712
[t=15] BUZZ: 5-1.15888
[t=15] BUZZ: 21-1.6661
[t=15] BUZZ: 8-0.715934
[t=15] BUZZ: 25-1.85865
[t=15] BUZZ: 35-2.58328
[t=16] BUZZ: 17-4.09912
[t=16] BUZZ: 13-4.10458
[t=16] BUZZ: 30-5.4113
[t=16] BUZZ: 4-4.23635
[t=16] BUZZ: 24-3.09728
[t=16] BUZZ: 6-3.78513
[t=16] BUZZ: 32-3.66205
[t=16] BUZZ: 37-3.82144
[t=16] BUZZ: 26-3.35196
[t=16] BUZZ: 20-3.71374
[t=16] BUZZ: 14-3.48593
[t=16] BUZZ: 15-3.4335
[t=16] BUZZ: 11-2.56779
[t=16] BUZZ: 9-2.67575
[t=16] BUZZ: 12-0.529393
[t=16] BUZZ: 19-3.13392
[t=16] BUZZ: 18-3.44194
[t=16] BUZZ: 16-3.20275
[t=16] BUZZ: 23-3.64456
[t=16] BUZZ: 22-1.3609
[t=16] BUZZ: 27-1.99871
[t=16] BUZZ: 28-1.5167
[t=16] BUZZ: 21-1.6661
[t=16] BUZZ: 33-2.94779
[t=16] BUZZ: 31-3.78109
[t=16] BUZZ: 34-2.71334
[t=16] BUZZ: 29-2.3865
[t=16] BUZZ: 36-2.78463
[t=16] BUZZ: 38-2.56124
[t=16] BUZZ: 39-2.4985
[t=16] BUZZ: 0-2.92626
[t=16] BUZZ: 1-2.88517
[t=16] BUZZ: 2-2.6853
[t=16] BUZZ: 3-1.78233
[t=16] BUZZ: 5-1.15888
[t=16] BUZZ: 7-2.00931
[t=16] BUZZ: 10-3.02936
[t=16] BUZZ: 8-0.715934
[t=16] BUZZ: 25-1.85865
[t=16] BUZZ: 35-2.58328
[t=17] BUZZ: 17-4.09912
[t=17] BUZZ: 18-3.43697
[t=17] BUZZ: 16-3.20275
[t=17] BUZZ: 23-3.64456
[t=17] BUZZ: 24-3.09728
[t=17] BUZZ: 26-3.35196
[t=17] BUZZ: 27-1.99871
[t=17] BUZZ: 20-3.71354
[t=17] BUZZ: 32-3.66205
[t=17] BUZZ: 33-2.94779
[t=17] BUZZ: 34-2.71334
[t=17] BUZZ: 30-5.4113
[t=17] BUZZ: 29-2.3865
[t=17] BUZZ: 35-2.58328
[t=17] BUZZ: 36-2.78463
[t=17] BUZZ: 37-3.81818
[t=17] BUZZ: 3-1.77755
[t=17] BUZZ: 4-4.23635
[t=17] BUZZ: 7-2.00931
[t=17] BUZZ: 6-3.78513
[t=17] BUZZ: 10-3.02936
[t=17] BUZZ: 13-4.10458
[t=17] BUZZ: 11-2.56779
[t=17] BUZZ: 31-3.78109
[t=17] BUZZ: 38-2.56124
[t=17] BUZZ: 14-3.48593
[t=17] BUZZ: 15-3.43195
[t=17] BUZZ: 9-2.67575
[t=17] BUZZ: 19-3.13392
[t=17] BUZZ: 22-1.3609
[t=17] BUZZ: 0-2.92626
[t=17] BUZZ: 1-2.88517
[t=17] BUZZ: 2-2.6853
[t=17] BUZZ: 39-2.4985
[t=17] BUZZ: 5-1.15888
[t=17] BUZZ: 28-1.5167
[t=17] BUZZ: 12-0.529393
[t=17] BUZZ: 21-1.6661
[t=17] BUZZ: 25-1.85865
[t=17] BUZZ: 8-0.715934
[t=18] BUZZ: 4-4.23635
[t=18] BUZZ: 18-3.43201
[t=18] BUZZ: 16-3.20275
[t=18] BUZZ: 17-4.09912
[t=18] BUZZ: 23-3.64456
[t=18] BUZZ: 24-3.09728
[t=18] BUZZ: 27-1.99871
[t=18] BUZZ: 20-3.71352
[t=18] BUZZ: 32-3.66205
[t=18] BUZZ: 31-3.78109
[t=18] BUZZ: 34-2.71334
[t=18] BUZZ: 30-5.4113
[t=18] BUZZ: 29-2.3865
[t=18] BUZZ: 35-2.58328
[t=18] BUZZ: 37-3.81493
[t=18] BUZZ: 38-2.56124
[t=18] BUZZ: 1-2.88517
[t=18] BUZZ: 2-2.6853
[t=18] BUZZ: 7-2.00931
[t=18] BUZZ: 6-3.78513
[t=18] BUZZ: 10-3.02936
[t=18] BUZZ: 13-4.10458
[t=18] BUZZ: 14-3.48593
[t=18] BUZZ: 15-3.43041
[t=18] BUZZ: 11-2.56779
[t=18] BUZZ: 9-2.67575
[t=18] BUZZ: 19-3.13392
[t=18] BUZZ: 26-3.348
[t=18] BUZZ: 21-1.6661
[t=18] BUZZ: 36-2.78463
[t=18] BUZZ: 5-1.15888
[t=18] BUZZ: 22-1.3609
[t=18] BUZZ: 3-1.77277
[t=18] BUZZ: 39-2.4985
[t=18] BUZZ: 0-2.92626
[t=18] BUZZ: 33-2.94779
[t=18] BUZZ: 28-1.5167
[t=18] BUZZ: 12-0.529393
[t=18] BUZZ: 25-1.85865
[t=18] BUZZ: 8-0.715934
[t=19] BUZZ: 20-3.71352
[t=19] BUZZ: 30-5.4113
[t=19] BUZZ: 4-4.23635
[t=19] BUZZ: 6-3.78513
[t=19] BUZZ: 32-3.66205
[t=19] BUZZ: 38-2.56124
[t=19] BUZZ: 23-3.64456
[t=19] BUZZ: 17-4.09912
[t=19] BUZZ: 22-1.3609
[t=19] BUZZ: 31-3.78109
[t=19] BUZZ: 36-2.78463
[t=19] BUZZ: 3-1.76799
[t=19] BUZZ: 7-2.00931
[t=19] BUZZ: 10-3.02936
